Grain density (g cm-3),Total porosity (-),Connected porosity (-),Intrinsic permeability (m2),Liquid apparent permeability (m2),Gas apparent permeability (m2),Thermal conductivity (W m-1 K-1)
2.24,,0.186,2.57E-17,,4.64E-17,
2.23,,0.183,1.74E-17,9.87E-19,2.96E-17,
2.20,,0.186,1.70E-17,8.88E-18,2.94E-17,
2.22,,0.206,6.91E-18,,1.28E-17,
2.98,,0.005,2.96E-18,,5.92E-18,
,,0.000,,,,
2.97,,0.022,9.87E-19,,2.96E-18,
2.93,,0.004,4.93E-18,,9.87E-18,
2.85,,0.045,2.96E-18,,5.92E-18,
2.95,,0.015,1.83E-16,7.80E-17,2.55E-16,
2.76,,0.183,1.97E-17,,3.55E-17,
2.87,,0.016,1.97E-18,,3.95E-18,
2.91,,0.128,6.91E-18,,1.38E-17,
2.94,,0.009,,,,
2.77,,0.108,2.96E-18,,5.92E-18,
2.86,,0.038,3.95E-18,,7.90E-18,
2.81,,0.015,,,,
2.83,,0.025,1.97E-18,,4.93E-18,
2.69,,0.178,1.04E-15,4.72E-16,1.46E-15,
2.91,,0.022,3.95E-18,,8.88E-18,
2.87,,0.166,5.13E-17,,1.15E-16,
2.83,,0.214,6.58E-18,,1.58E-17,
2.81,,0.093,4.64E-16,5.92E-18,4.65E-16,
2.80,,0.049,2.43E-16,9.87E-19,2.93E-16,
2.84,,0.112,1.97E-18,,3.95E-18,
2.76,,0.022,9.87E-19,,2.96E-18,
2.80,,0.049,2.96E-18,,5.92E-18,
2.76,,0.030,3.95E-18,,7.90E-18,
2.69,,0.140,8.88E-18,,1.78E-17,
2.81,,0.012,3.95E-18,,7.90E-18,
2.81,,0.005,5.92E-18,,1.09E-17,
2.84,,0.040,9.87E-19,,2.96E-18,
2.69,,0.037,2.96E-18,,4.93E-18,
2.78,,0.072,9.87E-19,,1.97E-18,
2.80,,0.022,9.87E-19,,2.96E-18,
2.79,,0.003,1.97E-18,,4.93E-18,
2.88,,0.045,2.96E-18,,5.92E-18,
2.95,,0.034,1.97E-18,,4.93E-18,
2.78,,0.027,9.87E-19,,2.96E-18,
2.88,,0.079,1.88E-17,,3.45E-17,
2.74,,0.046,1.97E-18,,3.95E-18,
2.86,,0.017,9.87E-19,,2.96E-18,
2.76,,0.079,2.96E-18,,5.92E-18,
2.33,,0.041,7.90E-18,,1.58E-17,
2.61,,0.140,1.46E-17,1.09E-17,2.54E-17,
2.93,,0.044,3.91E-17,,6.78E-17,
2.31,,0.044,1.95E-16,,2.80E-16,
2.31,,0.043,,,,
2.39,,0.077,3.55E-17,,6.32E-17,
2.31,,0.185,,,,
2.87,,0.077,2.96E-18,,5.92E-18,
2.64,,0.121,3.95E-18,,7.90E-18,
2.65,,0.004,1.97E-18,,4.93E-18,
2.42,,0.003,2.96E-18,,5.92E-18,
2.52,,0.108,8.88E-18,,2.04E-17,
2.88,,0.003,2.96E-18,,5.92E-18,
2.78,,0.372,8.07E-16,,1.22E-15,
2.79,,0.008,3.95E-18,,6.91E-18,
2.60,,0.158,3.95E-18,,7.90E-18,
2.76,,0.094,2.96E-18,,5.92E-18,
2.81,,0.293,7.01E-17,,1.18E-16,
2.86,,0.198,4.64E-17,,1.68E-16,
2.72,,0.029,2.96E-18,,5.92E-18,
2.89,,0.025,3.95E-18,,8.88E-18,
2.94,,0.044,,,9.87E-19,
2.80,,0.103,4.53E-16,,4.83E-16,
2.90,,0.041,5.92E-18,,1.18E-17,
2.91,,0.063,1.97E-18,,4.93E-18,
2.89,,0.021,3.95E-18,,7.90E-18,
2.87,,0.193,1.81E-17,2.96E-18,2.76E-17,
2.94,,0.012,2.96E-18,,5.92E-18,
2.84,,0.164,1.73E-16,,2.03E-16,
2.96,,0.047,5.92E-18,,1.28E-17,
2.61,,0.073,4.25E-16,,5.40E-16,
2.43,,0.219,3.65E-14,3.95E-18,3.63E-14,
2.53,,0.088,9.87E-18,,1.88E-17,
2.79,,0.090,2.96E-17,,1.22E-16,
2.95,,0.021,2.96E-18,,6.91E-18,
2.75,,0.043,3.65E-17,,6.42E-17,
2.73,,0.015,2.96E-18,,4.93E-18,
2.98,,0.109,2.96E-18,,5.92E-18,
2.71,,0.065,3.36E-17,,5.92E-17,
2.82,,0.005,2.96E-18,,5.92E-18,
2.65,,0.141,3.06E-17,,5.53E-17,
2.96,,0.009,2.96E-18,,6.91E-18,
2.71,,0.100,9.87E-19,,2.96E-18,
2.77,,0.057,2.96E-18,,4.93E-18,
2.74,,0.006,2.96E-18,,5.92E-18,
2.59,0.216,0.186,5.83E-16,4.54E-16,8.68E-16,
3.01,0.006,,,,,
2.79,0.374,0.371,1.32E-16,,2.52E-16,
2.80,0.022,0.013,,,,
2.73,0.304,0.297,5.36E-16,,6.46E-16,
2.76,0.098,0.087,1.38E-17,,2.66E-17,
2.73,0.154,0.152,9.87E-19,,2.96E-18,
2.74,0.232,0.229,5.92E-18,,1.48E-17,
2.71,0.124,0.065,,,,
2.70,0.021,0.017,,,,
2.74,0.366,0.355,4.00E-13,,5.21E-13,
2.71,0.393,0.373,4.55E-13,,5.03E-13,
2.74,0.363,0.354,1.13E-13,,1.41E-13,
3.00,0.006,0.001,,,,
